Title:,Outer,,,,,,,
Parameters:,,,,,,,,
,,,,,,,,
DAQ Settings:,,,,,,,,
Frequency Limit,2000,,,,,,,
Spectral Lines,1600,,,,,,,
Number of Blocks,8,,,,,,,
Total Data Rows,32768,,,,,,,
Channels:,,,,,,,,
Legend,Hor Accl,H Acc,Channel3,Channel4,Ver Accl,Speed,Torque,Channel8
,,,,,,,,
On/Off,OFF,OFF,OFF,OFF,ON,ON,ON,OFF
,,,,,,,,
Volts/Unit,0.1,0.1,1,1,0.1,1,0.0067,1
,,,,,,,,
Data,,,,,,,,
-0.025612,0.87141,-0.000985,,,,,,
-0.016298,0.870355,0.005112,,,,,,
-0.022178,0.871281,0.016048,,,,,,
-0.041074,0.869822,0.02876,,,,,,
0.03388,0.870531,0.035216,,,,,,
0.115676,0.870143,0.035852,,,,,,
0.146658,0.870557,0.027922,,,,,,
0.126001,0.870548,0.011138,,,,,,
0.066959,0.870809,-0.009008,,,,,,
0.026881,0.870631,-0.02871,,,,,,
0.004824,0.870853,-0.041901,,,,,,
-0.031742,0.871211,-0.03838,,,,,,
-0.058721,0.870345,-0.027038,,,,,,
-0.121147,0.870537,-0.006945,,,,,,
-0.152927,0.870076,0.015673,,,,,,
-0.04207,0.87027,0.028207,,,,,,
0.056266,0.870085,0.032491,,,,,,
0.11227,0.870136,0.026001,,,,,,
0.071999,0.870043,0.010234,,,,,,
0.065369,0.870075,-0.007198,,,,,,
0.029154,0.870412,-0.018739,,,,,,
-0.001157,0.869523,-0.02285,,,,,,
-0.033301,0.869257,-0.019439,,,,,,
-0.079764,0.869215,-0.009547,,,,,,
-0.150207,0.869486,0.000478,,,,,,
-0.092872,0.868596,0.007221,,,,,,
0.025143,0.868722,0.009592,,,,,,
0.111436,0.868856,0.002565,,,,,,
0.115114,0.869335,-0.004404,,,,,,
0.104725,0.868688,-0.010193,,,,,,
0.010455,0.869828,-0.021213,,,,,,
-0.048304,0.868329,-0.014572,,,,,,
-0.054463,0.869042,-0.009134,,,,,,
-0.08754,0.867941,0.004825,,,,,,
0.01782,0.868978,0.012782,,,,,,
0.124713,0.867416,0.025748,,,,,,
0.13322,0.869477,0.035719,,,,,,
0.12607,0.867232,0.039444,,,,,,
0.066142,0.870088,0.03878,,,,,,
-0.055469,0.866991,0.02916,,,,,,
-0.079904,0.870754,0.017767,,,,,,
-0.111551,0.866345,0.003387,,,,,,
-0.065121,0.871049,-0.009592,,,,,,
-0.096573,0.86475,-0.004999,,,,,,
-0.114017,0.871721,0.003425,,,,,,
-0.069081,0.863891,0.019094,,,,,,
0.04928,0.872433,0.032386,,,,,,
0.038506,0.863528,0.034541,,,,,,
0.069784,0.873428,0.029975,,,,,,
0.004085,0.861769,0.015044,,,,,,
-0.007168,0.875591,-0.004657,,,,,,
0.088848,0.860084,-0.021779,,,,,,
0.141011,0.877203,-0.03317,,,,,,
0.049761,0.856842,-0.035678,,,,,,
-0.039474,0.876722,-0.027915,,,,,,
-0.013113,0.873957,-0.010949,,,,,,
0.065145,0.619968,0.012509,,,,,,
0.139841,-4.707521,0.031409,,,,,,
0.134868,-5.589897,0.043974,,,,,,
0.080566,-5.258398,0.051292,,,,,,
-0.077786,-5.472633,0.049438,,,,,,
-0.059017,-5.297964,0.041085,,,,,,
-0.010445,-5.462106,0.026644,,,,,,
-0.048547,-5.298373,0.011452,,,,,,
-0.138127,-5.471691,0.001139,,,,,,
-0.141815,-5.280039,0.000278,,,,,,
-0.188852,-5.500179,0.004636,,,,,,
-0.131803,-5.235351,0.004178,,,,,,
0.031733,-5.568773,-0.001641,,,,,,
0.156108,-5.10795,-0.017823,,,,,,
0.110086,-5.84266,-0.035972,,,,,,
0.061479,-1.659901,-0.059691,,,,,,
