Title:,Outer,,,,,,,
Parameters:,,,,,,,,
,,,,,,,,
DAQ Settings:,,,,,,,,
Frequency Limit,2000,,,,,,,
Spectral Lines,1600,,,,,,,
Number of Blocks,8,,,,,,,
Total Data Rows,32768,,,,,,,
Channels:,,,,,,,,
Legend,Hor Accl,H Acc,Channel3,Channel4,Ver Accl,Speed,Torque,Channel8
,,,,,,,,
On/Off,OFF,OFF,OFF,OFF,ON,ON,ON,OFF
,,,,,,,,
Volts/Unit,0.1,0.1,1,1,0.1,1,0.0067,1
,,,,,,,,
Data,,,,,,,,
0.631907,0.867974,0.089488,,,,,,
0.61454,0.862699,0.062047,,,,,,
0.405026,0.85898,0.027294,,,,,,
0.112424,0.857787,-0.018683,,,,,,
-0.179674,0.856323,-0.060945,,,,,,
-0.318373,0.85596,-0.100307,,,,,,
-0.295358,0.85558,-0.121317,,,,,,
-0.169402,0.854521,-0.120919,,,,,,
-0.111427,0.855399,-0.094526,,,,,,
-0.049848,0.854159,-0.053615,,,,,,
-0.098989,0.856501,-0.000233,,,,,,
-0.261722,0.856744,0.057544,,,,,,
-0.427151,0.861024,0.09513,,,,,,
-0.309768,0.857976,0.122049,,,,,,
0.047441,0.858809,0.122673,,,,,,
0.416248,0.853858,0.111401,,,,,,
0.657717,0.858381,0.086309,,,,,,
0.624972,0.85053,0.050094,,,,,,
0.326029,0.856575,0.008701,,,,,,
0.020439,0.847486,-0.023438,,,,,,
-0.218077,0.857891,-0.048509,,,,,,
-0.326643,0.844262,-0.069734,,,,,,
-0.302628,0.86362,-0.071081,,,,,,
-0.144822,0.855356,-0.054127,,,,,,
-0.018886,1.012695,-0.021651,,,,,,
0.013894,1.096458,0.017066,,,,,,
-0.064601,1.203329,0.06135,,,,,,
-0.303225,1.320882,0.093676,,,,,,
-0.565802,1.286175,0.109817,,,,,,
-0.438353,1.281646,0.110013,,,,,,
0.012571,1.249302,0.092416,,,,,,
0.486432,1.202949,0.059643,,,,,,
0.766067,0.980729,0.02611,,,,,,
0.734519,0.876721,-0.011006,,,,,,
0.411,0.904536,-0.034632,,,,,,
0.01127,0.865753,-0.046571,,,,,,
-0.321788,0.894494,-0.043379,,,,,,
-0.403214,0.854884,-0.03112,,,,,,
-0.369338,0.899272,-0.005243,,,,,,
-0.175135,0.845779,0.029546,,,,,,
-0.003813,0.910735,0.070152,,,,,,
0.09654,0.837574,0.101025,,,,,,
0.082634,0.944706,0.121582,,,,,,
-0.094634,0.835942,0.12516,,,,,,
-0.368623,0.993696,0.114429,,,,,,
-0.469543,0.750579,0.084699,,,,,,
-0.205026,1.149275,0.047816,,,,,,
0.208882,-0.30784,0.005821,,,,,,
0.618337,-5.569342,-0.029289,,,,,,
0.725627,-5.321356,-0.061857,,,,,,
0.546537,-5.506304,-0.085057,,,,,,
0.189945,-5.36796,-0.093627,,,,,,
-0.174199,-5.478579,-0.091336,,,,,,
-0.423705,-5.387789,-0.073586,,,,,,
-0.445804,-5.464497,-0.042825,,,,,,
-0.282257,-5.399513,0.002713,,,,,,
-0.097109,-5.45465,0.046006,,,,,,
0.062792,-5.410486,0.083796,,,,,,
0.133428,-5.361991,0.109159,,,,,,
-0.029795,-5.046987,0.116408,,,,,,
-0.337734,-5.146881,0.099737,,,,,,
-0.371811,-5.056697,0.076129,,,,,,
-0.09731,-5.342758,0.040984,,,,,,
0.289719,-5.389848,0.00957,,,,,,
0.592303,-5.447948,-0.023523,,,,,,
0.654617,-5.374768,-0.04762,,,,,,
0.42525,-5.467772,-0.069963,,,,,,
0.135214,-5.365683,-0.083734,,,,,,
-0.193299,-5.308216,-0.092062,,,,,,
-0.343389,-0.031944,-0.096329,,,,,,
-0.316841,1.058989,-0.090393,,,,,,
