Title:,Outer,,,,,,,
Parameters:,,,,,,,,
,,,,,,,,
DAQ Settings:,,,,,,,,
Frequency Limit,2000,,,,,,,
Spectral Lines,1600,,,,,,,
Number of Blocks,8,,,,,,,
Total Data Rows,32768,,,,,,,
Channels:,,,,,,,,
Legend,Hor Accl,H Acc,Channel3,Channel4,Ver Accl,Speed,Torque,Channel8
,,,,,,,,
On/Off,OFF,OFF,OFF,OFF,ON,ON,ON,OFF
,,,,,,,,
Volts/Unit,0.1,0.1,1,1,0.1,1,0.0067,1
,,,,,,,,
Data,,,,,,,,
-0.343472,0.946736,0.014662,,,,,,
-0.325536,0.820403,0.037516,,,,,,
-0.315704,0.926785,0.054898,,,,,,
-0.270091,0.83727,0.065179,,,,,,
-0.226191,0.913646,0.054091,,,,,,
-0.140295,0.848925,0.043127,,,,,,
-0.047221,0.904042,0.019802,,,,,,
0.192653,0.857231,-0.004786,,,,,,
0.309103,0.896563,-0.027397,,,,,,
0.4601,0.863028,-0.05238,,,,,,
0.562683,0.891458,-0.066795,,,,,,
0.467708,0.867709,-0.070225,,,,,,
0.237972,0.887201,-0.065788,,,,,,
0.089462,0.870713,-0.050949,,,,,,
-0.197937,0.884466,-0.025561,,,,,,
-0.410514,0.873933,0.003224,,,,,,
-0.403084,0.88269,0.037915,,,,,,
-0.408903,0.875471,0.064082,,,,,,
-0.417584,0.88126,0.080097,,,,,,
-0.229149,0.876591,0.091268,,,,,,
-0.1223,0.879234,0.090353,,,,,,
-0.154765,0.876556,0.07112,,,,,,
0.010775,0.879123,0.041478,,,,,,
0.304402,0.877121,0.011444,,,,,,
0.348905,0.879105,-0.025959,,,,,,
0.348089,0.877614,-0.054146,,,,,,
0.465262,0.878204,-0.07543,,,,,,
0.344031,0.877765,-0.084335,,,,,,
0.107392,0.878246,-0.079702,,,,,,
-0.032964,0.877161,-0.060695,,,,,,
-0.177356,0.877248,-0.029878,,,,,,
-0.393567,0.876682,0.011153,,,,,,
-0.352148,0.876631,0.050219,,,,,,
-0.237761,0.877168,0.087065,,,,,,
-0.199196,0.877339,0.111075,,,,,,
-0.212981,0.877341,0.122413,,,,,,
-0.099229,0.878093,0.114702,,,,,,
-0.065649,0.877349,0.092785,,,,,,
0.001824,0.876991,0.056896,,,,,,
0.185711,0.876517,0.014528,,,,,,
0.320651,0.876502,-0.033811,,,,,,
0.392627,0.876305,-0.074464,,,,,,
0.377694,0.876706,-0.103777,,,,,,
0.311831,0.876812,-0.124782,,,,,,
0.144145,0.876993,-0.119386,,,,,,
0.004832,0.876982,-0.099004,,,,,,
-0.165234,0.876961,-0.058684,,,,,,
-0.347633,0.876821,-0.010669,,,,,,
-0.334498,0.87657,0.046009,,,,,,
-0.308943,0.876081,0.094589,,,,,,
-0.250577,0.875867,0.130346,,,,,,
-0.215831,0.875845,0.142088,,,,,,
-0.143641,0.876123,0.136121,,,,,,
-0.068538,0.876591,0.102391,,,,,,
0.084709,0.876825,0.053963,,,,,,
0.273019,0.87703,0.002668,,,,,,
0.394184,0.876817,-0.055187,,,,,,
0.431443,0.876512,-0.104446,,,,,,
0.390009,0.875767,-0.130789,,,,,,
0.25521,0.875663,-0.138596,,,,,,
0.076732,0.875915,-0.13052,,,,,,
-0.124574,0.8756,-0.104739,,,,,,
-0.288511,0.87516,-0.062395,,,,,,
-0.303197,0.874659,-0.014927,,,,,,
-0.270516,0.875767,0.035381,,,,,,
-0.266159,0.875689,0.085375,,,,,,
-0.191229,0.875496,0.113204,,,,,,
-0.162796,0.874965,0.124891,,,,,,
-0.114167,0.874765,0.1105,,,,,,
-0.069888,0.874463,0.076527,,,,,,
0.09175,0.874729,0.028343,,,,,,
0.213133,0.874622,-0.014622,,,,,,
