Title:,Outer,,,,,,,
Parameters:,,,,,,,,
,,,,,,,,
DAQ Settings:,,,,,,,,
Frequency Limit,2000,,,,,,,
Spectral Lines,1600,,,,,,,
Number of Blocks,8,,,,,,,
Total Data Rows,32768,,,,,,,
Channels:,,,,,,,,
Legend,Hor Accl,H Acc,Channel3,Channel4,Ver Accl,Speed,Torque,Channel8
,,,,,,,,
On/Off,OFF,OFF,OFF,OFF,ON,ON,ON,OFF
,,,,,,,,
Volts/Unit,0.1,0.1,1,1,0.1,1,0.0067,1
,,,,,,,,
Data,,,,,,,,
-0.13534,-5.379956,0.00297,,,,,,
-0.214953,-5.377302,0.00511,,,,,,
-0.22595,-5.380597,0.004029,,,,,,
-0.152931,-5.37648,-0.001709,,,,,,
-0.061005,-5.379603,-0.004919,,,,,,
0.013257,-5.376086,-0.00834,,,,,,
0.09262,-5.379484,-0.015486,,,,,,
0.134533,-5.373857,-0.020603,,,,,,
0.096356,-5.379169,-0.016389,,,,,,
0.043766,-5.371588,-0.013955,,,,,,
-0.03454,-5.380357,-0.007714,,,,,,
-0.112205,-5.369546,-0.003246,,,,,,
-0.196041,-5.382189,0.009468,,,,,,
-0.150956,-5.366218,0.014902,,,,,,
-0.085096,-5.385978,0.016894,,,,,,
-0.0165,-5.357985,0.014889,,,,,,
0.091881,-5.396902,0.00515,,,,,,
0.181922,-5.330333,-0.003454,,,,,,
0.19163,-5.471425,-0.011697,,,,,,
0.167769,-4.782784,-0.020882,,,,,,
0.166218,0.57623,-0.025976,,,,,,
0.10505,0.931774,-0.029928,,,,,,
0.000972,0.85092,-0.026469,,,,,,
-0.099846,0.888199,-0.020199,,,,,,
-0.143672,0.870533,-0.011865,,,,,,
-0.103397,0.881996,-0.005013,,,,,,
-0.014501,0.875598,0.001875,,,,,,
0.100396,0.880189,0.006482,,,,,,
0.15505,0.877718,0.008119,,,,,,
0.153181,0.879668,0.008009,,,,,,
0.106732,0.877973,0.005806,,,,,,
-0.015499,0.879293,0.003313,,,,,,
-0.131399,0.878056,0.001374,,,,,,
-0.165284,0.879051,-0.00053,,,,,,
-0.149461,0.877685,-0.00101,,,,,,
-0.121776,0.878864,-0.005567,,,,,,
-0.08205,0.878063,-0.006582,,,,,,
-0.00357,0.879117,-0.009332,,,,,,
0.051357,0.87875,-0.009063,,,,,,
0.077143,0.87926,-0.009354,,,,,,
0.054071,0.878388,-0.009762,,,,,,
-0.007739,0.878665,-0.010105,,,,,,
-0.07,0.877796,-0.0003,,,,,,
-0.104108,0.878104,0.003666,,,,,,
-0.132574,0.877419,0.010941,,,,,,
-0.10213,0.87779,0.013355,,,,,,
-0.049456,0.877619,0.011954,,,,,,
0.017409,0.878381,0.007815,,,,,,
0.116765,0.878745,-0.001597,,,,,,
0.180756,0.878082,-0.00949,,,,,,
0.177571,0.877288,-0.015202,,,,,,
0.141429,0.877291,-0.021385,,,,,,
0.145484,0.877353,-0.019661,,,,,,
0.08196,0.877845,-0.014216,,,,,,
-0.067068,0.877224,-0.009554,,,,,,
-0.136702,0.877064,-0.001408,,,,,,
-0.123648,0.877869,0.007636,,,,,,
-0.048162,0.878226,0.011365,,,,,,
0.037999,0.877925,0.013347,,,,,,
0.128544,0.877967,0.00832,,,,,,
0.151369,0.877264,0.002149,,,,,,
0.128739,0.877047,-0.005271,,,,,,
0.059694,0.876856,-0.009277,,,,,,
-0.061906,0.877242,-0.010353,,,,,,
-0.16206,0.876519,-0.012026,,,,,,
-0.1614,0.87691,-0.008068,,,,,,
-0.124938,0.876682,-0.000424,,,,,,
-0.118369,0.877068,0.005634,,,,,,
-0.069821,0.876543,0.009282,,,,,,
-0.010024,0.876952,0.009784,,,,,,
0.050846,0.87695,0.009337,,,,,,
